cycle  INDEX  BIT    OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
7      49     53     call            64     0    1        0     
7      49     54     call            64     0    1        0     
7      49     55     call            64     0    1        0     
7      49     56     call            64     0    1        0     
7      49     57     call            64     0    1        0     
7      49     58     call            64     0    1        0     
7      49     59     call            64     0    1        0     
7      49     60     call            64     0    1        0     
7      49     61     call            64     0    1        0     
7      49     62     call            64     0    1        0     
7      49     63     call            64     0    1        0     
8      10     0      alloca          32     0    0        1     
8      10     1      alloca          32     0    0        1     
8      10     2      alloca          32     0    0        1     
8      10     3      alloca          32     0    0        1     
8      10     4      alloca          32     0    0        1     
8      10     5      alloca          32     0    0        1     
8      10     6      alloca          32     0    0        1     
8      10     7      alloca          32     0    0        1     
8      10     8      alloca          32     0    0        1     
8      10     9      alloca          32     0    0        1     
8      10     10     alloca          32     0    0        1     
8      10     11     alloca          32     0    0        1     
8      10     12     alloca          32     0    0        1     
8      10     13     alloca          32     0    0        1     
8      10     14     alloca          32     0    0        1     
8      10     15     alloca          32     0    0        1     
8      10     16     alloca          32     0    0        1     
8      10     17     alloca          32     0    0        1     
8      10     18     alloca          32     0    0        1     
8      10     19     alloca          32     0    0        1     
8      10     20     alloca          32     0    0        1     
8      10     21     alloca          32     0    1        0     
8      10     22     alloca          32     0    1        0     
8      10     23     alloca          32     0    1        0     
8      10     24     alloca          32     0    1        0     
8      10     25     alloca          32     0    1        0     
8      10     26     alloca          32     0    1        0     
8      10     27     alloca          32     0    1        0     
8      10     28     alloca          32     0    1        0     
8      10     29     alloca          32     0    1        0     
8      10     30     alloca          32     0    1        0     
8      10     31     alloca          32     0    1        0     
9      11     0      load            64     0    0        1     
9      11     1      load            64     0    0        1     
9      11     2      load            64     1    0        0     
9      11     3      load            64     0    0        1     
9      11     4      load            64     0    0        1     
9      11     5      load            64     0    0        1     
9      11     6      load            64     0    0        1     
9      11     7      load            64     0    0        1     
9      11     8      load            64     0    0        1     
9      11     9      load            64     0    0        1     
9      11     10     load            64     0    0        1     
9      11     11     load            64     0    0        1     
9      11     12     load            64     0    0        1     
9      11     13     load            64     0    1        0     
9      11     14     load            64     0    1        0     
9      11     15     load            64     0    1        0     
9      11     16     load            64     0    1        0     
9      11     17     load            64     0    1        0     
9      11     18     load            64     0    1        0     
9      11     19     load            64     0    1        0     
9      11     20     load            64     0    1        0     
9      11     21     load            64     0    1        0     
9      11     22     load            64     0    1        0     
9      11     23     load            64     0    1        0     
9      11     24     load            64     0    1        0     
9      11     25     load            64     0    1        0     
9      11     26     load            64     0    1        0     
9      11     27     load            64     0    1        0     
9      11     28     load            64     0    1        0     
9      11     29     load            64     0    1        0     
9      11     30     load            64     0    1        0     
9      11     31     load            64     0    1        0     
9      11     32     load            64     0    1        0     
9      11     33     load            64     0    1        0     
9      11     34     load            64     0    1        0     
9      11     35     load            64     0    1        0     
9      11     36     load            64     0    1        0     
9      11     37     load            64     0    1        0     
9      11     38     load            64     0    1        0     
9      11     39     load            64     0    1        0     
9      11     40     load            64     0    1        0     
9      11     41     load            64     0    1        0     
9      11     42     load            64     0    1        0     
9      11     43     load            64     0    1        0     
9      11     44     load            64     0    1        0     
9      11     45     load            64     0    1        0     
9      11     46     load            64     0    1        0     
9      11     47     load            64     0    1        0     
9      11     48     load            64     0    1        0     
9      11     49     load            64     0    1        0     
9      11     50     load            64     0    1        0     
9      11     51     load            64     0    1        0     
9      11     52     load            64     0    1        0     
9      11     53     load            64     0    1        0     
9      11     54     load            64     0    1        0     
9      11     55     load            64     0    1        0     
9      11     56     load            64     0    1        0     
9      11     57     load            64     0    1        0     
9      11     58     load            64     0    1        0     
9      11     59     load            64     0    1        0     
9      11     60     load            64     0    1        0     
9      11     61     load            64     0    1        0     
9      11     62     load            64     0    1        0     
9      11     63     load            64     0    1        0     
10     12     0      load            64     0    0        1     
10     12     1      load            64     0    0        1     
10     12     2      load            64     1    0        0     
10     12     3      load            64     0    0        1     
10     12     4      load            64     0    0        1     
10     12     5      load            64     0    0        1     
10     12     6      load            64     0    0        1     
10     12     7      load            64     0    0        1     
10     12     8      load            64     0    0        1     
10     12     9      load            64     0    0        1     
10     12     10     load            64     0    0        1     
10     12     11     load            64     0    0        1     
10     12     12     load            64     0    0        1     
10     12     13     load            64     0    1        0     
10     12     14     load            64     0    1        0     
10     12     15     load            64     0    1        0     
10     12     16     load            64     0    1        0     
10     12     17     load            64     0    1        0     
10     12     18     load            64     0    1        0     
10     12     19     load            64     0    1        0     
10     12     20     load            64     0    1        0     
10     12     21     load            64     0    1        0     
10     12     22     load            64     0    1        0     
10     12     23     load            64     0    1        0     
10     12     24     load            64     0    1        0     
10     12     25     load            64     0    1        0     
10     12     26     load            64     0    1        0     
10     12     27     load            64     0    1        0     
10     12     28     load            64     0    1        0     
10     12     29     load            64     0    1        0     
10     12     30     load            64     0    1        0     
10     12     31     load            64     0    1        0     
10     12     32     load            64     0    1        0     
10     12     33     load            64     0    1        0     
10     12     34     load            64     0    1        0     
10     12     35     load            64     0    1        0     
10     12     36     load            64     0    1        0     
10     12     37     load            64     0    1        0     
10     12     38     load            64     0    1        0     
10     12     39     load            64     0    1        0     
10     12     40     load            64     0    1        0     
10     12     41     load            64     0    1        0     
10     12     42     load            64     0    1        0     
10     12     43     load            64     0    1        0     
10     12     44     load            64     0    1        0     
10     12     45     load            64     0    1        0     
10     12     46     load            64     0    1        0     
10     12     47     load            64     0    1        0     
10     12     48     load            64     0    1        0     
10     12     49     load            64     0    1        0     
10     12     50     load            64     0    1        0     
10     12     51     load            64     0    1        0     
10     12     52     load            64     0    1        0     
10     12     53     load            64     0    1        0     
10     12     54     load            64     0    1        0     
10     12     55     load            64     0    1        0     
10     12     56     load            64     0    1        0     
10     12     57     load            64     0    1        0     
